stop_id,stop_code,stop_name,street_name,latitude,longitude,direction,zone
N2812899E101487983,,Madina Seafood,Jalan Sultan Abdul Samad,2.812899,101.487983,2,1
N2813293E101486708,,Taman Seri Putra,Jalan Sultan Abdul Samad,2.813293,101.486708,1,1
N2813592E101502695,,Indah Pesona,Jalan Sultan Abdul Samad,2.813592,101.502695,2,1
N2815634E101481094,,Spg Jalan Serdang Belah,Jalan Sultan Abdul Samad,2.815634,101.481094,1,1
N2816309E101479818,,Spg Jalan Serdang Belah,Jalan Sultan Abdul Samad,2.816309,101.479818,2,1
N2817379E101454654,,Bandar Banting Baru,Persiaran Bintang Utama,2.817379,101.454654,1,1
N2817628E101518756,LG28,Pejabat Pertanian (Opp),Jalan Sultan Abdul Samad,2.817628,101.518756,2,1
N2817882E101518711,LG115,Pejabat Pertanian,Jalan Sultan Abdul Samad,2.817882,101.518711,1,1
N2818938E101521836,LG27,Taman Sri Telok Datok,Jalan Sultan Abdul Samad,2.818938,101.521836,2,1
N2819161E101455971,,SK Jugra (Opp),Jalan Sultan Abdul Samad,2.819161,101.455971,1,1
N2819220E101463654,,ILP Kuala Langat (Opp),Jalan Sultan Abdul Samad,2.81922,101.463654,1,1
N2819256E101471548,,IKBN Kuala Langat (Opp),Jalan Sultan Abdul Samad,2.819256,101.471548,1,1
N2819277E101521956,LG116,JKR Kuala Langat,Jalan Sultan Abdul Samad,2.819277,101.521956,1,1
N2819281E101456218,,SK Jugra,Jalan Sultan Abdul Samad,2.819281,101.456218,2,1
N2819460E101463326,,ILP Kuala Langat,Jalan Sultan Abdul Samad,2.81946,101.463326,2,1
N2819503E101471632,,IKBN Kuala Langat,Jalan Sultan Abdul Samad,2.819503,101.471632,2,1
N2820041E101524656,LG26,SMK Telok Datok,Jalan Sultan Abdul Samad,2.820041,101.524656,2,1
N2820547E101446840,,Kampung Sg Raba,Jalan Kelanang,2.820547,101.44684,2,1
N2820608E101525184,LG117,Kafa Integrasi,Jalan Sultan Abdul Samad,2.820608,101.525184,1,1
N2820630E101450658,,Rejimen TUDM,Jalan Sultan Suleiman Shah,2.82063,101.450658,2,1
N2821658E101528247,LG25,SMK Banting,31,2.821658,101.528247,2,1
N2822258E101529163,LG118,SMK Banting (Opp),31,2.822258,101.529163,1,1
N2823137E101444143,,Kolej Matrikulasi Selangor,Jalan Kelanang,2.823137,101.444143,2,1
N2823871E101533347,LG23,Aimpoint Plaza,31,2.823871,101.533347,2,1
N2824055E101533376,LG119,Aimpoint Plaza (Opp),31,2.824055,101.533376,1,1
N2824435E101449289,,Kuarters TUDM,Jalan Sultan Suleiman Shah,2.824435,101.449289,2,1
N2825598E101536892,LG120,SMK Sg Manggis,31,2.825598,101.536892,1,1
N2825643E101537589,LG22,SMK Sg Manggis (Opp),31,2.825643,101.537589,2,1
N2826557E101440588,,Kampung Kathong,Jalan Kelanang,2.826557,101.440588,2,1
N2826558E101540526,LG21,Kompleks Penghulu Manggis,31,2.826558,101.540526,2,1
N2826731E101540579,LG121,SJKT Manggis,31,2.826731,101.540579,1,1
N2826847E101609873,,Perusahaan Olak Lempit,32,2.826847,101.609873,1,1
N2827845E101447860,,SM Sains Banting,Jalan Sultan Suleiman Shah,2.827845,101.44786,2,1
N2829783E101437410,,Pekan Permatang Pasir,Jalan Kelanang,2.829783,101.43741,2,1
N2830321E101549008,LG122,Mahkota Industrial Banting,31,2.830321,101.549008,1,1
N2831658E101551535,LG19,Mahkota Industrial (Opp),31,2.831658,101.551535,2,1
N2833268E101554115,LG18,Kampung Sg Manggis,31,2.833268,101.554115,2,1
N2833607E101605377,LG9,Taman Nuri Indah,31,2.833607,101.605377,2,1
N2833833E101606184,LG133,Taman Nuri Indah,31,2.833833,101.606184,1,1
N2833871E101554631,LG124,Kampung Sg Manggis,31,2.833871,101.554631,1,1
N2834976E101598232,LG10,Kompleks Niaga,31,2.834976,101.598232,2,1
N2835158E101597981,LG132,Kompleks Niaga,31,2.835158,101.597981,1,1
N2835499E101560656,LG17,Kampung Olak Lempit (Barat),31,2.835499,101.560656,2,1
N2835518E101594453,LG11,Kampung Olak Lempit (Timur),31,2.835518,101.594453,2,1
N2835566E101595052,LG131,Kampung Olak Lempit (Timur),31,2.835566,101.595052,1,1
N2835663E101560635,LG125,Kampung Olak Lempit (Barat),31,2.835663,101.560635,1,1
N2836452E101586649,LG12,SK Olak Lempit,31,2.836452,101.586649,2,1
N2836604E101586811,LG130,SRA Olak Lempit,31,2.836604,101.586811,1,1
N2836806E101582108,LG13,Perumahan Taman Merbah,31,2.836806,101.582108,2,1
N2836925E101579386,LG14,Taman Merbah Rimba,31,2.836925,101.579386,2,1
N2836944E101582561,LG129,Perumahan Taman Merbah,31,2.836944,101.582561,1,1
N2837151E101567174,LG126,Taman Desa Idaman 2,31,2.837151,101.567174,1,1
N2837193E101574031,LG15,"Taman Desa Idaman,kg Olak Lempit",31,2.837193,101.574031,2,1
